state,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,American Indian and Alaska Native Eligible_120,Asian Eligible_120,Black or African American Eligible_120,Native Hawaiian Eligible_120,White Eligible_120,Hispanic or Latino Eligible_120,Veteran Eligible_120,Elderly Eligible_120,DIS Eligible_120,English less than very well Eligible_120,Percentage Eligible_120,difference_percentage_aian_120,difference_percentage_asian_120,difference_percentage_black_120,difference_percentage_nhpi_120,difference_percentage_white_120,difference_percentage_hispanic_120,difference_percentage_veteran_120,difference_percentage_elderly_120,difference_percentage_disability_120,difference_percentage_eng_very_well_120,American Indian and Alaska Native Eligible_135,Asian Eligible_135,Black or African American Eligible_135,Native Hawaiian Eligible_135,White Eligible_135,Hispanic or Latino Eligible_135,Veteran Eligible_135,Elderly Eligible_135,DIS Eligible_135,English less than very well Eligible_135,Percentage Eligible_135,difference_percentage_aian_135,difference_percentage_asian_135,difference_percentage_black_135,difference_percentage_nhpi_135,difference_percentage_white_135,difference_percentage_hispanic_135,difference_percentage_veteran_135,difference_percentage_elderly_135,difference_percentage_disability_135,difference_percentage_eng_very_well_135,American Indian and Alaska Native Eligible_150,Asian Eligible_150,Black or African American Eligible_150,Native Hawaiian Eligible_150,White Eligible_150,Hispanic or Latino Eligible_150,Veteran Eligible_150,Elderly Eligible_150,DIS Eligible_150,English less than very well Eligible_150,Percentage Eligible_150,difference_percentage_aian_150,difference_percentage_asian_150,difference_percentage_black_150,difference_percentage_nhpi_150,difference_percentage_white_150,difference_percentage_hispanic_150,difference_percentage_veteran_150,difference_percentage_elderly_150,difference_percentage_disability_150,difference_percentage_eng_very_well_150,Current Total Subscribers,Current Participation Rate
01,911822,1055721,46.34,25385,11957,296511,895,430023,39693,84391,292886,301156,24886,36.7,-19.49,-25.84,-15.02,-5.89,-23.47,-17.52,-23.23,-24.42,-16.73,-19.2,26101,12398,306061,895,450017,41026,88424,309387,311701,25339,38.24,-17.22,-23.11,-12.28,-5.89,-19.91,-14.75,-19.56,-20.16,-13.81,-17.73,28167,13011,320483,951,475731,43471,91985,328564,323687,26883,40.37,-10.66,-19.31,-8.15,0.0,-15.34,-9.67,-16.32,-15.21,-10.5,-12.71,372070,40.81
02,106704,164595,39.33,30399,9305,7445,606,65155,9935,17261,34029,40408,8795,34.76,-9.56,-6.96,-10.6,0.0,-12.69,-6.81,-19.59,-13.87,-9.61,-3.25,30670,9305,7571,606,65605,10177,17595,34069,40597,8795,34.99,-8.75,-6.96,-9.09,0.0,-12.08,-4.54,-18.03,-13.77,-9.18,-3.25,30960,9450,7725,606,66964,10177,17899,34688,40995,8795,35.59,-7.89,-5.51,-7.24,0.0,-10.26,-4.54,-16.61,-12.2,-8.29,-3.25,19368,18.15
04,1174568,1643126,41.69,98624,50979,89923,2322,755120,416269,118516,406297,378034,209281,34.48,-11.92,-13.92,-13.17,-18.1,-18.42,-13.36,-19.77,-20.16,-12.94,-10.26,100021,52123,91428,2613,779050,425176,123865,420545,385921,212985,35.46,-10.67,-11.99,-11.72,-7.83,-15.84,-11.51,-16.15,-17.36,-11.12,-8.67,103031,53971,94983,2613,809982,436571,128964,440519,398198,218052,36.83,-7.98,-8.87,-8.28,-7.83,-12.5,-9.14,-12.7,-13.43,-8.3,-6.5,434233,36.97
05,600752,582813,50.76,25093,11955,117122,1223,372799,49369,58267,193993,218260,26060,41.4,-15.58,-10.13,-13.81,0.0,-19.58,-12.51,-22.56,-23.5,-14.75,-11.36,25829,12005,119996,1223,385130,50082,59756,205349,223390,26771,42.71,-13.11,-9.75,-11.69,0.0,-16.92,-11.24,-20.59,-19.02,-12.74,-8.94,26810,12039,126360,1223,400018,51569,62392,215068,228678,27083,44.47,-9.81,-9.49,-7.01,0.0,-13.71,-8.61,-17.08,-15.19,-10.68,-7.88,189002,31.46
06,6013704,7415330,44.78,290363,954446,604258,18519,3100654,2614598,407405,2322990,1931982,2131643,40.2,-7.88,-8.89,-7.96,-9.25,-11.63,-8.33,-12.88,-11.95,-7.65,-6.86,293877,967357,609578,18829,3155085,2648089,415996,2371200,1954178,2156282,40.83,-6.77,-7.66,-7.15,-7.73,-10.08,-7.16,-11.05,-10.12,-6.59,-5.78,298736,984272,621832,19515,3232703,2695889,425962,2427606,1987206,2186777,41.73,-5.23,-6.05,-5.28,-4.37,-7.87,-5.48,-8.91,-7.98,-5.01,-4.45,2337832,38.88
08,824852,1488185,35.66,46526,39783,70536,2838,589216,235250,87500,258378,253783,100556,30.11,-9.75,-14.27,-8.91,-11.34,-16.31,-10.49,-16.28,-19.12,-10.84,-9.35,48200,40356,71517,2899,602899,238691,89641,267363,258483,101892,30.81,-6.51,-13.03,-7.64,-9.43,-14.37,-9.18,-14.23,-16.31,-9.19,-8.14,48736,42250,72458,2899,624520,242751,92530,278952,264498,103879,31.82,-5.47,-8.95,-6.42,-9.43,-11.3,-7.64,-11.46,-12.68,-7.08,-6.35,212997,25.82
09,568632,859687,39.81,13696,28821,112477,290,355160,146606,42518,226599,188833,109406,35.5,-9.27,-8.04,-7.75,0.0,-12.17,-7.08,-13.15,-12.59,-6.81,-6.68,13961,28927,113745,290,362508,147665,43670,231127,191669,110117,36.11,-7.51,-7.7,-6.71,0.0,-10.36,-6.41,-10.8,-10.85,-5.42,-6.07,13961,29080,115859,290,370768,150332,44867,235926,194063,111463,36.81,-7.51,-7.21,-4.98,0.0,-8.31,-4.72,-8.35,-8.99,-4.23,-4.92,163245,28.71
10,150742,244926,38.1,6103,5551,47168,0,80192,18186,13955,55193,47171,16363,32.37,-7.91,-12.56,-8.8,0.0,-17.95,-7.28,-20.02,-21.72,-13.16,-5.31,6331,5672,48289,0,82821,18346,14445,57704,48616,16363,33.27,-4.47,-10.65,-6.64,0.0,-15.26,-6.46,-17.22,-18.15,-10.5,-5.31,6389,5851,48710,0,86351,18977,15058,60563,49912,16962,34.42,-3.59,-7.83,-5.82,0.0,-11.65,-3.24,-13.7,-14.1,-8.11,-1.84,44075,29.24
12,3685918,4879423,43.03,72967,119161,723134,3283,2146586,1038656,336501,1424223,1125330,778846,34.89,-17.65,-15.84,-13.97,-3.84,-20.36,-14.36,-21.53,-21.33,-13.71,-13.13,75760,123259,741193,3283,2224657,1065690,350737,1485268,1151299,795278,36.08,-14.49,-12.95,-11.82,-3.84,-17.46,-12.13,-18.21,-17.95,-11.72,-11.3,78051,127353,766509,3370,2324355,1100096,364353,1551844,1185678,819354,37.61,-11.91,-10.06,-8.81,-1.29,-13.76,-9.29,-15.04,-14.28,-9.08,-8.61,1413766,38.36
13,1665435,2335679,41.62,51473,61326,631314,976,706776,165658,161956,538310,518614,141561,34.05,-15.92,-19.27,-13.65,-21.35,-21.16,-16.12,-22.57,-20.6,-13.75,-15.07,53030,63755,646177,976,733388,170846,169936,559961,533224,146199,35.19,-13.38,-16.07,-11.62,-21.35,-18.19,-13.5,-18.76,-17.4,-11.32,-12.29,54226,66575,665763,1044,766125,177602,177530,583086,545943,151590,36.58,-11.42,-12.36,-8.94,-15.87,-14.54,-10.07,-15.12,-13.99,-9.21,-9.05,647133,38.86
15,207027,283055,42.24,10259,113307,11569,56286,94164,32834,30253,96367,67718,44722,37.81,-3.67,-8.9,-10.12,-5.41,-11.02,-4.46,-12.27,-11.55,-7.53,-7.86,10378,115644,11946,57043,96420,32893,31298,98709,68999,45131,38.69,-2.55,-7.02,-7.19,-4.14,-8.89,-4.28,-9.24,-9.4,-5.78,-7.02,10378,116818,11946,57545,99701,33093,32270,100615,69590,46174,39.55,-2.55,-6.08,-7.19,-3.29,-5.79,-3.7,-6.42,-7.65,-4.97,-4.87,48085,23.23
16,287136,406735,41.38,15607,7684,6486,2017,210726,45871,34042,89774,97679,23255,33.29,-8.09,-11.14,-11.72,0.0,-20.07,-12.04,-23.64,-24.32,-14.52,-8.33,15892,8036,6647,2017,217546,46052,35118,94204,100660,23436,34.33,-6.41,-7.07,-9.53,0.0,-17.48,-11.69,-21.23,-20.59,-11.91,-7.61,16314,8263,6647,2017,225830,46812,36145,98933,102813,23723,35.56,-3.92,-4.44,-9.53,0.0,-14.34,-10.23,-18.93,-16.6,-10.03,-6.48,44177,15.39
17,2000692,2990960,40.08,62506,109399,462084,1523,1076468,366792,132465,684196,614900,329190,33.99,-9.51,-12.37,-7.78,0.0,-18.37,-13.21,-20.07,-19.32,-12.09,-11.45,63201,111703,468854,1523,1108898,374597,137126,706789,627188,334677,34.86,-8.51,-10.53,-6.43,0.0,-15.91,-11.36,-17.25,-16.66,-10.33,-9.97,64586,114595,476315,1523,1152501,386067,141959,733791,641229,343930,35.97,-6.5,-8.21,-4.94,0.0,-12.6,-8.65,-14.34,-13.47,-8.32,-7.48,594127,29.7
18,1099146,1581549,41.0,34533,30554,166219,1406,727644,96158,89695,347174,375748,58158,33.36,-14.14,-11.81,-13.22,0.0,-19.43,-12.39,-19.11,-22.52,-13.16,-12.85,34782,30795,168988,1406,749253,98016,91595,360393,381819,59356,34.27,-13.52,-11.11,-11.77,0.0,-17.04,-10.7,-17.4,-19.57,-11.76,-11.05,36282,32114,172452,1406,779242,100961,95148,375955,391473,61507,35.61,-9.8,-7.31,-9.96,0.0,-13.72,-8.01,-14.19,-16.1,-9.53,-7.83,371484,33.8
19,497487,802975,38.25,17604,14199,42539,356,367528,42679,38898,157292,161244,27709,31.47,-11.39,-13.58,-7.52,-51.5,-18.4,-12.32,-23.14,-23.84,-12.83,-11.27,17965,14418,43171,356,377384,43456,40178,164149,165774,28304,32.31,-9.57,-12.25,-6.15,-51.5,-16.21,-10.72,-20.61,-20.52,-10.39,-9.37,18229,15503,43748,356,391106,44596,42307,172635,169416,28761,33.46,-8.24,-5.65,-4.89,-51.5,-13.17,-8.38,-16.41,-16.41,-8.42,-7.91,106302,21.37
20,449522,709501,38.78,23151,15135,50918,607,286552,60674,33961,124931,148089,36326,29.46,-16.65,-22.54,-14.2,-18.19,-25.16,-16.78,-22.88,-28.95,-16.49,-15.93,24055,16359,52157,607,298644,62115,35259,132364,152733,36829,30.67,-13.39,-16.27,-12.11,-18.19,-22.0,-14.8,-19.93,-24.72,-13.87,-14.77,24768,17317,53532,622,318681,64301,36782,141566,157495,38524,32.58,-10.82,-11.37,-9.8,-16.17,-16.76,-11.81,-16.47,-19.49,-11.18,-10.84,115252,25.64
21,873763,911924,48.93,33071,16174,103955,1448,656966,41269,72108,283662,345362,33798,41.61,-15.11,-12.21,-9.9,0.0,-15.36,-12.17,-20.55,-20.83,-11.27,-11.95,34852,16333,105660,1448,675873,42108,76029,297196,354154,33955,42.75,-10.54,-11.34,-8.42,0.0,-12.92,-10.38,-16.23,-17.05,-9.01,-11.54,35776,16660,106501,1448,697945,42797,79704,310890,362965,34728,44.05,-8.17,-9.57,-7.69,0.0,-10.08,-8.92,-12.18,-13.23,-6.75,-9.53,408163,46.71
22,948326,835601,53.16,34429,20173,390564,850,447973,54041,79730,328622,333787,36473,46.43,-7.49,-15.33,-8.5,0.0,-15.0,-9.94,-18.78,-17.16,-10.13,-12.52,34726,21046,396442,850,460402,55044,82114,340221,340148,37326,47.47,-6.69,-11.67,-7.13,0.0,-12.64,-8.27,-16.35,-14.24,-8.41,-10.47,34957,22511,405378,850,473970,55326,84858,352631,346448,37889,48.82,-6.07,-5.52,-5.03,0.0,-10.07,-7.8,-13.56,-11.11,-6.72,-9.12,482740,50.9
23,236145,357485,39.78,9415,4357,6980,160,182297,5228,23530,89001,90913,7989,31.95,-9.1,-7.94,-15.23,0.0,-19.66,-11.24,-19.04,-25.08,-12.86,-7.76,9430,4357,7088,160,188214,5323,24187,93368,93013,8006,32.96,-8.96,-7.94,-13.92,0.0,-17.06,-9.63,-16.78,-21.4,-10.85,-7.56,9639,4357,7122,160,197370,5551,24870,99295,94984,8006,34.54,-6.94,-7.94,-13.5,0.0,-13.02,-5.76,-14.43,-16.42,-8.96,-7.56,88255,37.37
24,857197,1498443,36.39,28328,59910,358901,491,352237,111449,77814,316615,274910,132503,32.47,-3.71,-8.52,-7.31,0.0,-13.69,-7.64,-14.12,-13.98,-8.5,-7.04,28455,61112,362838,491,359573,112694,79208,324135,278573,134440,33.01,-3.28,-6.68,-6.29,0.0,-11.89,-6.61,-12.58,-11.94,-7.28,-5.68,28655,62205,368490,491,368344,114168,81363,332925,282612,135840,33.71,-2.6,-5.01,-4.83,0.0,-9.74,-5.39,-10.2,-9.55,-5.94,-4.7,242561,28.3
25,1116919,1642044,40.48,23477,82368,170062,759,762822,227435,74515,449092,388681,259885,36.79,-5.35,-7.87,-3.55,0.0,-10.13,-3.72,-10.56,-12.95,-7.35,-4.81,23518,83044,170670,759,775113,228164,75704,459135,392040,260575,37.26,-5.19,-7.12,-3.21,0.0,-8.68,-3.41,-9.13,-11.01,-6.54,-4.56,24033,84462,172412,759,789233,229992,77483,470618,397927,262966,37.91,-3.11,-5.53,-2.22,0.0,-7.01,-2.63,-7.0,-8.78,-5.14,-3.68,324612,29.06
26,1729801,2321999,42.69,55099,53541,391926,2096,1078698,114276,133764,583977,585975,110676,35.98,-10.66,-12.32,-7.95,-13.53,-18.06,-14.04,-19.11,-20.65,-11.95,-9.7,56183,54384,394647,2096,1111099,116497,138032,608607,599043,112794,36.86,-8.9,-10.94,-7.31,-13.53,-15.6,-12.37,-16.53,-17.3,-9.99,-7.97,58090,55201,401159,2189,1149140,120249,143174,633016,612302,114247,37.96,-5.81,-9.6,-5.79,-9.69,-12.71,-9.55,-13.42,-13.99,-8.0,-6.79,722653,41.78
27,802896,1478112,35.2,37377,51867,109645,98,542355,65123,63944,270423,259207,83334,29.7,-9.94,-12.58,-6.04,0.0,-17.0,-11.87,-17.99,-19.82,-12.36,-8.32,37866,53390,109711,98,557993,66441,66348,280512,264909,84353,30.44,-8.76,-10.01,-5.98,0.0,-14.61,-10.08,-14.91,-16.83,-10.44,-7.2,38904,54628,110973,98,577641,68961,68147,290516,270683,86413,31.41,-6.26,-7.93,-4.9,0.0,-11.6,-6.67,-12.6,-13.86,-8.48,-4.94,218464,27.21
