county,Num Eligible,Num Ineligible,Percentage Eligible,rural
01001,11376,10907,51.05,0
01003,31637,62468,33.62,0
01005,5091,4393,53.68,1
01007,4809,3698,56.53,1
01009,10532,11053,48.79,0
01011,2068,1840,52.92,1
01013,3846,3318,53.69,1
01015,25857,18774,57.94,0
01017,6942,6177,52.92,1
01019,4982,4383,53.2,1
01021,6242,11025,36.15,1
01023,2866,1856,60.69,1
01025,5226,3384,60.7,1
01027,3200,2583,55.33,1
01029,3386,2733,55.34,1
01031,10286,10411,49.7,0
01033,10735,11947,47.33,1
01035,2625,1700,60.69,1
01037,2075,1846,52.92,1
01039,7583,6542,53.68,1
01041,2662,2297,53.68,1
01043,15928,17932,47.04,1
01045,9491,9607,49.7,0
01047,7439,7133,51.05,1
01049,14294,12356,53.64,1
01051,13819,18986,42.12,0
01053,8318,5387,60.69,1
01055,20634,18153,53.2,0
01057,3519,2706,56.53,1
01059,6025,6704,47.33,1
01061,5418,5364,50.25,0
01063,1667,1282,56.53,1
01065,3188,2452,56.52,1
01067,3484,3449,50.25,0
01069,21793,21573,50.25,0
01071,10497,9073,53.64,1
01073,119914,150886,44.28,0
01075,3014,2318,56.53,1
01077,17549,19529,47.33,0
01079,5206,7640,40.53,0
01081,33157,34029,49.35,0
01083,12693,27623,31.48,0
01085,1994,1912,51.05,1
01087,3901,3471,52.92,1
01089,55152,108504,33.7,0
01091,4168,3205,56.53,1
01093,5319,5989,47.04,1
01095,16803,20398,45.17,0
01097,86502,76460,53.08,0
01099,4473,2897,60.69,1
01101,48147,44270,52.1,0
01103,19433,28517,40.53,0
01105,1646,1578,51.05,1
01107,4125,3172,56.53,1
01109,6663,5748,53.69,1
01111,4939,3987,55.33,1
01113,12235,10424,54.0,0
01115,16225,17030,48.79,0
01117,27139,58926,31.53,0
01119,2664,2049,56.52,1
01121,18467,14907,55.33,0
01123,8248,7339,52.92,1
01125,40510,46293,46.67,0
01127,11845,12513,48.63,1
01129,3483,2256,60.69,1
01131,2398,1553,60.69,1
01133,4268,4805,47.04,1
02013,518,480,51.9,1
02016,791,733,51.9,1
02020,37896,71642,34.6,0
02050,2823,2618,51.88,1
02060,128,119,51.82,1
02063,1000,1721,36.75,
02066,368,633,36.76,
02068,228,392,36.77,1
02070,734,681,51.87,1
02090,13470,23178,36.76,0
02100,292,503,36.73,1
02105,357,331,51.89,1
02110,4542,7816,36.75,0
02122,10184,13309,43.35,1
02130,1964,3380,36.75,1
02150,1981,1837,51.89,1
02158,1266,1174,51.89,1
02164,224,207,51.97,1
02170,18545,24233,43.35,1
02180,1519,1408,51.9,1
02185,1669,1547,51.9,1
02188,1179,1093,51.89,1
02195,514,477,51.87,1
02198,869,806,51.88,1
02220,1279,1186,51.89,1
02230,175,301,36.76,1
02240,959,1650,36.76,1
02275,321,298,51.86,1
02282,101,93,52.06,1
02290,808,749,51.89,1
04001,14797,8121,64.56,1
04003,24826,23794,51.06,0
04005,29053,26369,52.42,0
04007,12252,9420,56.53,1
04009,8862,6813,56.54,1
04011,2199,1690,56.54,1
04012,3504,2900,54.72,1
04013,644767,1063242,37.75,0
04015,55367,48286,53.42,0
04017,23919,13126,64.57,1
04019,190307,242036,44.02,0
04021,65631,89519,42.3,0
04023,9436,9044,51.06,0
04025,47586,64204,42.57,0
04027,42060,34560,54.89,0
05001,3423,2788,55.11,1
05003,3804,3098,55.11,1
05005,9691,7880,55.15,1
05007,36913,70159,34.47,0
05009,8701,7076,55.15,1
05011,2104,1714,55.11,1
05013,1010,772,56.68,1
05015,6578,5349,55.15,1
05017,2035,1658,55.1,1
05019,4616,4047,53.28,1
05021,3085,2546,54.79,1
05023,5845,3892,60.03,1
05025,1505,1226,55.11,1
05027,4863,3715,56.69,1
05029,4854,3267,59.77,1
05031,23471,18862,55.44,0
05033,13170,10605,55.39,0
05035,11290,6549,63.29,0
05037,3944,2288,63.29,1
05039,1383,1056,56.7,1
05041,2274,1852,55.11,1
05043,3461,2819,55.11,1
05045,22161,25722,46.28,0
05047,3745,3016,55.39,1
05049,2856,1902,60.03,1
05051,21570,18911,53.28,0
05053,2973,4211,41.38,1
05055,9698,8004,54.78,0
05057,4282,3271,56.69,1
05059,7113,6236,53.28,1
05061,2960,2126,58.2,1
05063,8974,5975,60.03,1
05065,3212,2139,60.03,1
05067,3456,2919,54.21,1
05069,13421,10932,55.11,0
05071,6034,4061,59.77,1
05073,1347,1029,56.69,1
05075,3438,2837,54.79,1
05077,2017,1170,63.29,1
05079,2582,2103,55.11,1
05081,2783,1999,58.2,1
05083,4893,3515,58.19,1
05085,13279,15413,46.28,0
05087,3845,3127,55.15,1
05089,3918,3186,55.15,1
05091,9861,7083,58.2,0
05093,9536,5532,63.29,1
05095,1403,1185,54.21,1
05097,1825,1600,53.28,1
05099,1772,1354,56.69,1
05101,1682,1367,55.17,1
05103,4833,3692,56.69,1
05105,1659,2351,41.37,1
05107,3882,2252,63.29,1
05109,2191,1921,53.28,1
05111,4845,3893,55.45,1
05113,4449,3196,58.19,1
05115,14851,9996,59.77,0
05117,1709,1443,54.22,1
05119,78366,93348,45.64,0
05121,3938,3250,54.79,1
05123,5412,3140,63.28,1
05125,20434,28947,41.38,0
05127,2277,1635,58.21,1
05129,1823,1482,55.16,1
05131,27989,22537,55.4,0
05133,3667,2634,58.2,1
05135,3662,3022,54.79,1
05137,2923,1946,60.03,1
05139,8332,6366,56.69,1
05141,3735,2487,60.03,1
05143,43225,50452,46.14,0
05145,15842,13381,54.21,0
05147,1292,1091,54.22,1
05149,4747,3195,59.77,1
06001,210706,378514,35.76,0
06003,224,289,43.66,1
06005,7511,9665,43.73,1
06007,40192,41161,49.4,0
06009,8405,10815,43.73,1
06011,4223,3162,57.18,1
06013,146962,264666,35.7,0
06015,5292,5091,50.97,1
06017,24554,50355,32.78,0
06019,185742,136899,57.57,0
06021,5590,4186,57.18,1
06023,31636,23547,57.33,0
06025,31686,16164,66.22,0
06027,3529,4541,43.73,1
06029,168617,114415,59.58,0
06031,24053,19090,55.75,0
06033,14392,11949,54.64,1
06035,6244,6006,50.97,1
06037,1702407,1673249,50.43,0
06039,25645,18410,58.21,0
06041,29547,73831,28.58,0
06043,3180,4092,43.73,1
06045,19344,16061,54.64,1
06047,53812,31154,63.33,0
06049,1660,1597,50.97,1
06051,2447,3148,43.74,1
06053,63592,72735,46.65,0
06055,18748,30662,37.94,0
06057,17281,24896,40.97,1
06059,425077,651698,39.48,0
06061,50109,105791,32.14,0
06063,3777,3633,50.97,1
06065,372728,393121,48.67,0
06067,255159,316812,44.61,0
06069,8146,9058,47.35,0
06071,360760,315119,53.38,0
06073,450287,712606,38.72,0
06075,124988,226238,35.59,0
06077,122297,119495,50.58,0
06079,42388,65183,39.4,0
06081,76363,187388,28.95,0
06083,68664,81894,45.61,0
06085,202549,447877,31.14,0
06087,38046,59308,39.08,0
06089,33977,37528,47.52,0
06091,547,789,40.94,1
06093,8409,8089,50.97,1
06095,65895,92303,41.65,0
06097,68722,121857,36.06,0
06099,87575,86584,50.28,0
06101,19122,14768,56.42,0
06103,12727,9531,57.18,1
06105,3115,2332,57.19,1
06107,88390,55122,61.59,0
06109,10321,13280,43.73,1
06111,105281,174052,37.69,0
06113,35409,41435,46.08,0
06115,15658,12093,56.42,0
08001,74882,108458,40.84,0
08003,3759,3383,52.63,1
08005,83078,162812,33.79,0
08007,2502,3327,42.92,1
08009,805,725,52.61,1
08011,1297,1167,52.64,1
08013,40532,93156,30.32,0
08014,6464,23326,21.7,0
08015,3351,4367,43.42,1
08017,270,391,40.85,1
08019,914,3025,23.2,1
08021,1712,1541,52.63,1
08023,803,723,52.62,1
08025,916,1327,40.84,1
08027,809,1055,43.4,1
08029,6718,6139,52.25,1
08031,122709,207300,37.18,0
08033,435,579,42.9,1
08035,24277,111773,17.84,0
08037,5883,14486,28.88,1
08039,4035,5840,40.86,1
08041,101281,185005,35.38,0
08043,8419,10972,43.42,1
08045,9674,15298,38.74,1
08047,565,1871,23.19,1
08049,1659,4084,28.89,1
08051,3168,4214,42.92,1
08053,147,196,42.86,1
08055,1173,1528,43.43,1
08057,146,359,28.91,1
08059,73325,168563,30.31,0
08061,224,324,40.88,1
08063,1097,1588,40.86,1
08065,1279,1667,43.41,1
08067,10418,13856,42.92,1
08069,50025,102096,32.89,0
08071,3342,3007,52.64,1
08073,879,1273,40.85,1
08075,3333,4824,40.86,1
08077,27775,36393,43.28,0
08079,198,179,52.52,1
08081,2085,3296,38.75,1
08083,4839,6436,42.92,1
08085,9191,8400,52.25,1
08087,4508,6525,40.86,1
08089,4293,3863,52.64,1
08091,1049,959,52.24,1
08093,2992,3899,43.42,1
08095,702,1017,40.84,1
08097,1833,4512,28.89,1
08099,2756,2480,52.64,1
08101,37298,31395,54.3,0
08103,1024,1619,38.74,1
08105,2649,2384,52.63,1
08107,3894,6158,38.74,1
08109,1463,1317,52.63,1
08111,132,176,42.86,1
08113,1738,1588,52.25,1
08115,373,539,40.9,1
08117,3278,8070,28.89,1
08119,3389,5260,39.18,1
08121,745,1079,40.84,1
08123,48798,72784,40.14,0
08125,1546,2238,40.86,1
09001,132049,226234,36.86,0
09003,145368,213680,40.49,0
09005,26361,48790,35.08,0
09007,20475,49340,29.33,0
09009,153453,196665,43.83,0
09011,45550,65326,41.08,0
09013,23792,35482,40.14,0
09015,21585,24170,47.18,0
10001,31079,39218,44.21,0
10003,77138,143501,34.96,0
10005,42525,62207,40.6,1
12001,46458,61729,42.94,0
12003,4777,6890,40.94,1
12005,33523,43245,43.67,0
12007,5593,5112,52.25,1
12009,102785,151802,40.37,0
12011,328575,419214,43.94,0
12013,2554,2448,51.06,1
12015,35670,53318,40.08,0
12017,30467,37801,44.63,1
12019,29978,50502,37.25,0
12021,54726,109206,33.38,0
12023,13768,12585,52.24,1
12027,7681,6252,55.13,0
12029,3309,3025,52.24,1
12031,178905,227386,44.03,0
12033,58459,68520,46.04,0
12035,17205,29895,36.53,0
12037,2329,2233,51.05,1
12039,8201,7863,51.05,0
12041,3529,3226,52.24,1
12043,2744,1656,62.36,1
12045,2655,2546,51.05,1
12047,2826,2121,57.13,1
12049,5726,4660,55.13,1
12051,8967,5412,62.36,1
12053,37445,44052,45.95,0
12055,22892,18110,55.83,1
12057,231660,345904,40.11,0
12059,3760,4850,43.67,1
12061,25653,44321,36.66,0
12063,8855,8489,51.06,1
12065,2715,2603,51.05,1
12067,1660,1246,57.12,1
12069,59268,102188,36.71,0
12071,130938,189500,40.86,0
12073,52940,68484,43.6,0
12075,8478,7750,52.24,1
12077,1493,1431,51.06,1
12079,3626,2722,57.12,1
12081,53734,109786,32.86,0
12083,71659,85691,45.54,0
12085,25783,43382,37.28,0
12086,530574,438106,54.77,0
12087,12941,18048,41.76,0
12089,15277,22035,40.94,1
12091,29785,54712,35.25,0
12093,8971,5414,62.36,1
12095,238282,274107,46.5,0
12097,64109,68940,48.18,0
12099,236272,359382,39.67,0
12101,94387,135397,41.08,0
12103,158302,262488,37.62,0
12105,137455,139018,49.72,0
12107,15272,14868,50.67,1
12109,28897,79868,26.57,0
12111,56779,74612,43.21,0
12113,21453,50269,29.91,0
12115,63822,140197,31.28,0
12117,65139,122936,34.63,0
12119,20914,43140,32.65,0
12121,8771,6585,57.12,1
12123,4398,3302,57.12,1
12125,3188,2914,52.25,1
12127,111392,133039,45.57,0
12129,6319,6058,51.05,1
12131,14405,18583,43.67,1
12133,4843,6248,43.67,1
13001,3775,2560,59.59,1
13003,1634,1238,56.89,1
13005,2198,1666,56.88,1
13007,642,417,60.62,1
13009,7710,8472,47.65,1
13011,3297,3272,50.19,1
13013,12591,16380,43.46,0
13015,14283,24285,37.03,0
13017,3704,2800,56.95,1
13019,3912,2957,56.95,1
13021,29596,28268,51.15,0
13023,2623,1711,60.52,1
13025,3555,2694,56.89,1
13027,3512,2655,56.95,0
13029,7815,8339,48.38,0
13031,14298,15176,48.51,0
13033,5023,4074,55.22,1
13035,4575,4908,48.24,1
13037,1244,808,60.62,1
13039,9673,12698,43.24,1
13043,2287,1492,60.52,1
13045,19062,24797,43.46,0
13047,12160,14416,45.76,0
13049,2469,1871,56.89,1
13051,52224,68804,43.15,0
13053,1804,1903,48.66,0
13055,4474,5305,45.75,1
13057,24306,75687,24.31,0
13059,26161,29171,47.28,0
13061,567,488,53.74,1
13063,60139,46103,56.61,0
13065,1333,1010,56.89,1
13067,93534,199283,31.94,0
13069,8503,6445,56.88,1
13071,9324,7780,54.51,1
13073,15172,35847,29.74,0
13075,3712,2806,56.95,1
13077,16433,38976,29.66,0
13079,2135,2346,47.65,1
13081,4002,3446,53.73,1
13083,2910,3450,45.75,0
13085,4632,6185,42.82,0
13087,6548,4254,60.62,1
13089,96790,179497,35.03,0
13091,4150,2708,60.51,1
13093,2229,1919,53.74,1
13095,17995,16171,52.67,0
13097,20205,31248,39.27,0
13099,2420,1572,60.62,1
13101,728,552,56.88,1
13103,11419,12121,48.51,0
13105,2812,4863,36.64,1
13107,4743,3095,60.51,1
13109,2204,1495,59.58,1
13111,4253,5509,43.57,1
13113,12588,31379,28.63,0
13115,16767,19213,46.6,0
13117,17375,69113,20.09,0
13119,4283,4251,50.19,1
13121,156219,308229,33.64,0
13123,5267,6822,43.57,1
13125,588,477,55.21,1
13127,14926,19592,43.24,1
13129,9668,12522,43.57,1
13131,5849,3800,60.62,1
13133,2709,4686,36.63,1
13135,129903,194070,40.1,0
13137,8417,8355,50.18,1
13139,33021,39337,45.64,0
13141,1784,1447,55.22,1
13143,5089,5831,46.6,1
13145,6895,5937,53.73,0
13147,4724,4689,50.19,1
13149,2182,2202,49.77,1
13151,30245,54740,35.59,0
13153,25211,34536,42.2,0
13155,2082,1574,56.95,1
13157,11447,14892,43.46,0
13159,2475,2908,45.98,1
13161,3026,2052,59.59,1
13163,3208,2602,55.22,1
13165,1771,1437,55.21,1
13167,1913,1248,60.52,1
13169,4989,5482,47.65,0
13171,3328,3571,48.24,1
13173,1948,1476,56.89,1
13175,10328,6739,60.51,1
13177,6957,6252,52.67,0
13179,11398,12164,48.37,0
13181,1570,1274,55.2,1
13183,2825,3015,48.37,1
13185,24682,20457,54.68,0
13187,5788,7729,42.82,1
13189,4417,3583,55.21,1
13191,1937,2543,43.24,1
13193,2401,2068,53.73,1
13195,4313,7461,36.63,0
13197,1492,1284,53.75,1
13199,3941,3978,49.77,1
13201,1338,869,60.63,1
13205,4851,3152,60.61,1
13207,4919,5406,47.64,0
13209,1761,1194,59.59,1
13211,3409,4005,45.98,1
13213,6715,8698,43.57,1
13215,39018,41143,48.67,0
13217,17698,23057,43.43,0
13219,5986,10353,36.64,0
13221,2123,3671,36.64,0
13223,20586,37629,35.36,0
13225,4925,5413,47.64,0
13227,5579,7226,43.57,1
13229,3889,2948,56.88,1
13231,3399,3647,48.24,0
13233,7289,8353,46.6,1
13235,1518,2080,42.19,1
13237,3882,4266,47.64,1
13239,446,384,53.73,1
13241,2917,3896,42.82,1
13243,1277,1099,53.75,1
13245,39784,34880,53.28,0
13247,14722,19180,43.43,0
13249,904,778,53.75,1
13251,2481,2634,48.5,1
13253,2040,1325,60.62,1
13255,12109,12992,48.24,0
13257,4898,4862,50.18,1
13259,1058,911,53.73,1
13261,5888,5070,53.73,1
13263,1140,982,53.72,1
13265,317,257,55.23,1
13267,4674,3170,59.59,1
13269,1555,1339,53.73,1
13271,2554,1732,59.59,1
13273,2048,1330,60.63,1
13275,9304,7763,54.51,1
13277,8905,6731,56.95,1
13279,5533,3752,59.59,1
13281,2160,2884,42.82,1
13283,1335,871,60.52,1
13285,13271,13395,49.77,0
13287,1941,1467,56.95,1
13289,1413,1552,47.66,1
13291,4258,5686,42.82,1
13293,4984,5347,48.24,1
13295,12122,14371,45.76,0
13297,16397,19268,45.98,0
13299,7153,5422,56.88,1
13301,1065,864,55.21,1
13303,4082,3311,55.21,1
13305,6170,4184,59.59,1
13307,467,402,53.74,1
13309,1530,1037,59.6,1
13311,4841,6464,42.82,1
13313,17800,17946,49.8,0
13315,1826,1191,60.52,1
13317,1955,1585,55.23,1
13319,1561,1715,47.65,1
13321,4222,3523,54.51,1
15001,34847,37347,48.27,0
15003,134343,203751,39.74,0
15005,11,13,45.83,1
15007,11646,12914,47.42,1
15009,26179,29030,47.42,0
16001,70527,124873,36.09,0
16003,789,959,45.14,1
16005,15192,17344,46.69,0
16007,1113,1270,46.71,1
16009,1711,2274,42.94,1
16011,6911,7966,46.45,1
16013,3824,5002,43.33,1
16015,1371,1667,45.13,1
16017,8462,11249,42.93,1
16019,17084,25761,39.87,0
16021,2164,2877,42.93,1
16023,463,563,45.13,1
16025,169,221,43.33,1
16027,37798,47560,44.28,0
16029,1226,1400,46.69,1
16031,4390,4844,47.54,1
16033,143,174,45.11,1
16035,1574,1914,45.13,1
16037,771,937,45.14,1
16039,4516,5907,43.33,1
16041,2477,2828,46.69,1
16043,1900,2191,46.44,1
16045,2896,4209,40.76,1
16047,2457,3213,43.33,1
16049,2980,3624,45.12,1
16051,4384,5057,46.44,1
16053,3819,4995,43.33,1
16055,25668,42623,37.59,0
16057,7098,9436,42.93,0
16059,1437,1747,45.13,1
16061,636,773,45.14,1
16063,807,1056,43.32,1
16065,7511,8664,46.44,0
16067,3405,4453,43.33,1
16069,7586,9225,45.13,0
16071,797,910,46.69,1
16073,2100,2185,49.01,1
16075,3844,5586,40.76,1
16077,1376,1571,46.69,0
16079,2365,3144,42.93,1
16081,1651,1904,46.44,1
16083,16030,17684,47.55,0
16085,2116,2573,45.13,1
16087,1590,2311,40.76,1
17001,12051,15728,43.38,0
17003,958,1116,46.19,1
17005,2700,3927,40.74,1
17007,8087,12392,39.49,0
17009,1145,1494,43.39,1
17011,5625,8305,40.38,1
17013,719,950,43.08,1
17015,2605,3897,40.06,1
17017,2110,2790,43.06,1
17019,36933,47271,43.86,0
17021,6600,7670,46.25,1
17023,2920,3538,45.22,1
17025,2262,2928,43.58,1
17027,5956,8663,40.74,1
17029,8855,10728,45.22,0
17031,905127,1166580,43.69,0
17033,3530,4276,45.22,1
17035,1974,2392,45.21,1
17037,16262,23526,40.87,0
17039,2509,3793,39.81,1
17041,3731,4520,45.22,1
17043,97342,253151,27.77,0
17045,3186,3860,45.22,1
17047,1142,1330,46.2,1
17049,5899,7635,43.59,1
17051,3656,4732,43.59,1
17053,2581,2938,46.77,1
17055,8442,7608,52.6,1
17057,6160,8040,43.38,1
17059,903,1052,46.19,1
17061,1939,2564,43.06,1
17063,7624,11926,39.0,0
17065,1460,1700,46.2,1
17067,3245,4243,43.34,1
17069,667,776,46.22,1
17071,1176,1538,43.33,1
17073,9079,11869,43.34,0
17075,5164,5880,46.76,1
17077,11830,10661,52.6,0
17079,1580,2046,43.57,1
17081,5992,8716,40.74,1
17083,3480,4601,43.06,1
17085,3656,5469,40.07,0
17087,2432,2832,46.2,1
17089,66357,116678,36.25,0
17091,15600,24402,39.0,0
17093,14766,31749,31.74,0
17095,8456,12484,40.38,0
17097,79422,174623,31.26,0
17099,18902,26026,42.07,1
17101,2601,3367,43.58,1
17103,5664,8473,40.07,1
17105,6173,8500,42.07,1
17107,4525,6841,39.81,1
17109,5017,6560,43.34,1
17111,35112,82856,29.76,0
17113,24206,45057,34.95,0
17115,20164,23432,46.25,0
17117,7275,9617,43.07,1
17119,42064,67502,38.39,0
17121,6092,8862,40.74,1
17123,1987,2934,40.38,1
17125,2400,3132,43.38,1
17127,2590,3016,46.2,1
17129,1987,3004,39.81,1
17131,2892,3781,43.34,1
17133,5451,8345,39.51,0
17135,4573,6914,39.81,1
17137,5324,7039,43.06,1
17139,2348,3550,39.81,1
17141,8385,12131,40.87,1
17143,34647,44695,43.67,0
17145,4678,4216,52.6,1
17147,2694,4073,39.81,1
17149,2701,3525,43.38,1
17151,688,801,46.21,1
17153,949,1105,46.2,1
17155,953,1408,40.36,1
17157,4870,7085,40.74,1
17159,2691,3483,43.59,1
17161,24676,35511,41.0,0
17163,41008,58093,41.38,0
17165,4344,5058,46.2,1
17167,32442,51972,38.43,0
17169,1266,1652,43.39,1
17171,801,1059,43.06,1
17173,3392,5129,39.81,1
17175,914,1350,40.37,1
17177,7404,11075,40.07,0
17179,20616,34593,37.34,0
17181,3152,3670,46.2,1
17183,14144,16105,46.76,0
17185,2076,2418,46.19,1
17187,3101,4054,43.34,1
17189,2221,3231,40.74,1
17191,2753,3564,43.58,1
17193,2535,2952,46.2,1
17195,9238,13818,40.07,1
17197,73291,169413,30.2,0
17199,14998,13516,52.6,1
17201,53316,60213,46.96,0
17203,6510,9611,40.38,0
18001,5483,8711,38.63,1
18003,65796,89069,42.49,0
18005,13181,19202,40.7,0
18007,1331,2093,38.87,1
18009,2338,2537,47.96,1
18011,7046,22090,24.18,0
18013,2339,3543,39.77,1
18015,3102,4879,38.87,1
18017,7135,9024,44.15,1
18019,21526,28110,43.37,0
18021,4565,5921,43.53,0
18023,5070,7974,38.87,1
18025,1746,2604,40.14,1
18027,6595,6833,49.11,1
18029,7406,13050,36.2,0
18031,3988,6210,39.11,1
18033,6850,9344,42.3,1
18035,24344,21633,52.95,0
18037,7238,10794,40.14,1
18039,29483,39531,42.72,0
18041,4757,4618,50.74,1
18043,11817,19279,38.0,0
18045,2843,3687,43.54,1
18047,3330,5868,36.2,1
18049,3427,4671,42.32,1
18051,4266,8971,32.23,1
18053,11717,14342,44.96,0
18055,6085,6305,49.11,1
18057,24984,106181,19.05,0
18059,12152,20267,37.48,0
18061,5824,9501,38.0,0
18063,15837,49914,24.09,0
18065,9437,10240,47.96,1
18067,15757,19930,44.15,0
18069,5613,8918,38.63,1
18071,7443,10844,40.7,1
18073,5508,7507,42.32,1
18075,3951,4288,47.95,1
18077,4993,7776,39.1,1
18079,4159,6477,39.1,1
18081,17143,44973,27.6,0
18083,6019,8975,40.14,1
18085,12087,18486,39.53,1
18087,6401,8732,42.3,1
18089,88407,103892,45.97,0
18091,18514,24931,42.61,0
18093,8892,9213,49.11,1
18095,27368,26541,50.77,0
18097,177324,217276,44.94,0
18099,6944,10622,39.53,1
18101,1940,2010,49.11,1
18103,6321,7737,44.96,0
18105,27026,29688,47.65,0
18107,5794,9113,38.87,1
18109,10849,16437,39.76,0
18111,2314,3154,42.32,1
18113,7513,10249,42.3,1
18115,868,1530,36.2,1
18117,3924,4066,49.11,1
18119,4212,4364,49.11,1
18121,2785,3613,43.53,1
18123,3180,4742,40.14,1
18125,2033,3031,40.15,1
18127,23660,44565,34.68,0
18129,3259,6853,32.23,0
18131,2095,2855,42.32,1
18133,5550,8409,39.76,1
18135,4726,5129,47.96,0
18137,4236,7465,36.2,1
18139,3406,3306,50.74,1
18141,42866,64209,40.03,0
18143,3673,5721,39.1,1
18145,6857,11435,37.49,0
18147,3285,4899,40.14,1
18149,3912,5332,42.32,1
18151,5450,7434,42.3,1
18153,3591,4658,43.53,1
18155,1422,2507,36.19,1
18157,33359,40165,45.37,0
18159,2893,3659,44.15,0
18161,1442,1399,50.76,1
18163,34214,45084,43.15,0
18165,2662,3453,43.53,1
18167,22127,20012,52.51,0
18169,5443,6662,44.96,1
18171,1455,1888,43.52,1
18173,8258,17364,32.23,0
18175,4138,6751,38.0,1
18177,13534,13136,50.75,0
18179,4314,6855,38.62,1
18181,3771,5931,38.87,1
18183,5235,8318,38.63,0
19001,1303,1760,42.54,1
19003,662,853,43.7,1
19005,2163,3680,37.02,1
19007,2199,2833,43.7,1
19009,987,1333,42.54,1
19011,4141,6056,40.61,1
